,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
1125,M,11,16,No,5,Cereal,7,3,50,1,16:00:00,7:00:00,80,2,3,1,0,3,B,1,9,50,0,0,50,0,80,N/A,N/A,5,6,6,6,1,4,4,4,1,0,0
1126,M,11,16,No,1,"Bacon, eggs",6,3,40,1,18:00:00,6:30:00,90,2,3,15,0,3,N/A,0,9,50,0,0,50,0,80,Bio,History,1,7,7,5,4,6,7,4,2,0,0
1127,M,11,16,No,5,eggs,9,3,99.9,0.1,16:25:00,7:00:00,95,0,2,0,0,3.5,B+/A-,1,7.5,0,0,0,100,0,88,N/A,N/A,5.5,7,6,3.5,2.5,7,6,5,1,0,travel soccer
1128,F,11,16,No,1,"cereal, oatmeal",6,4,20,,16:30:00,6:00:00,70,10,0,0,0,3.6,0,,5,5,0,90,0,85,N/A,N/A,5,6,7,7,7,4,5,7,5,1,0,club volleyball
1129,M,11,16,No,1.5,"granola bars, poptarts, pudding",6,5,20,1.5,20:00:00,6:23:00,90,0,5,4,0,3,N/A,3,8.5,50,0,0,50,0,95,N/A,N/A,6,7,6,4.5,4,7,7,4,7,1,0
1130,M,11,16,No,2,cereal,5,3.5,15,2,17:20:00,6:45:00,95,7,5,3,64,3,B,1,10,65,15,5,15,0,90,"science,spanish, english","history,math",4,7,7,5,4,7,6,3,1,9,0
1131,F,11,17,vegetarian,5,"waffles,",6,5,10,2,18:00:00,5:40:00,100,1,0,0,0,3.63,N/A,2,9,0,0,0,100,0,English,math,5,7,6,7,5,6,5,5,5,0,0,"swimming, dance, running ,etc"
1132,M,11,17,No,5,quesedilla,8,5,15,0.5,"""diffrent""",6:55:00,99,2,3,0,6,3.33,B+,2,10,20,0,0,70,10,50,"french, english","math,science",1,5,6,5.5,6,6,5,6,1,0,0
1133,F,11,16,No,1,oatmeal,6,4,80,2,18:00:00,6:50:00,95,2,3,7,50,3.5,N/A,3,9,0,0,0,90,10,85,bio,"math,science",5,7,6,5,4,5,6,5,3,0,0
1134,F,11,16,"""sort of""",5,"leftovers, milk",9,4,80,1,17:00:00,7:00:00,100,1,0,0,0,3.4,N/A,0,7,0,50,0,50,0,N/A,Art,french,5,6,5,6,3,3,5,4,2,1,0
1135,M,11,16,No,5,eggs,8,1.5,59,1,18:30:00,5:45:00,85,2,2,1,0,3.66,A-,0,7,0,0,0,100,0,65,Science,N/A,5,7,7,7,3,7,5,2,2,0,0
1136,M,11,17,No,4,7-11 breakfeast,8,3,20,1,16:20:00,6:45:00,100,1,1,0,0,3.85,N/A,3,9,100,0,0,0,0,5,N/A,N/A,6,6,6,6,5,6,7,2,0,2,0
1137,F,11,16,No,3,hot chocolate,6,1.5,33,1,16:00:00,6:20:00,75,1,0,0,0,3,B,2,9,16.5,16.5,0,66,0,50,Spanish,"math,science",3,5,4,6,2,7,7,2,0,0,0
1138,F,11,17,No,5,"oatmeal, yogurt, fruit",9,3,60,0.3333333333,16:00:00,7:00:00,50,1,2,0,"""a lot""",2.92,N/A,0,5,0,0,80,20,0,30,History,French,5,7,6,5,2,3,5,1,2,0,0
1139,F,11,16,No,4,poptarts,6,2,45,2,20:00:00,4:00:00,25,3,0,0,0,3.53,N/A,2,5,1,0,0,99,0,25,History,"math,science",2,4,6,5,1,2,3,1,2,9,0
1140,F,11,16,no,5,"cereal, rice, oatmeal, hot chocolate",9,4,50,0.25,16:30:00,6:00:00,0,0,0,0,0,4,A-,0,6,30,0,0,70,0,50,N/A,english,5,5,6,4,3,4,3,3,3,0,0
1141,M,11,17,no,5,"smoothie, banan",5.5,5,45,0.2,15:30:00,7:40:00,100,1,3,0,0,3.8,(A/B),1,8.5,0,0,100,0,0,"""most of the time""",History,Latin,4,7,7,7,5,7,N/A,7,0,0,0
1142,M,11,17,No,0,N/A,5,1,0,1,16:00:00,7:00:00,100,2,3.5,5.5,0,3,N/A,3,5,100,0,0,0,0,"""depends""","Math, Science",N/A,3,4,2,4,2,3,5,2,0,0,tennis
