,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around,wake up around,% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter Grade,AP classes,stress,metro%,bus%,walk%,driven%,%drive yourself,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside
951,F,9,14,no,5,"sausage, breakfeast shake",6,,10,2,18:00:00,6:20:00,95,0,1,0,0,4.1,N/A,0,9,33.33,33.33,0,33.33,0,80,"English, Math",N/A,7,6,6,6,4,6,5,5,2,0,"volleyball, track and field"
952,M,9,15,No,0,,7,1,50,0,18:30:00,7:00:00,100,0.5,5,0,0,3.4,N/A,0,3,0,0,0,100,0,N/A,"Math, science",N/A,7,6,5,4,3,2,1,2,3,4,0
953,F,9,14,No,0.5,fruit,5,1.5,30,0,16:30:00,6:30:00,97,1,1,0,0,2.33,C+,0,10,50,0,0,50,0,90,english,"science, history",5,5,4,6,4,5,6,4,0,0,0
mean,,,14.3076923076923,#DIV/0!,3.69230769230769,#DIV/0!,6.72843137254902,2.13725490196078,42.2307692307692,0.9125,17:02:12,6:27:30,91.4038461538462,1.98039215686275,2.54901960784314,0.980769230769231,3.65384615384615,3.47010638297872,#DIV/0!,0,6.00961538461538,40.3937087912088,8.56669467787115,9.49579831932773,40.751568627451,0.784313725490196,69.5121951219512,#DIV/0!,#DIV/0!,4.34615384615385,5.5,5.69230769230769,5.91346153846154,3.19230769230769,4.98039215686274,4.73076923076923,3.51020408163265,1.72115384615385,1.15384615384615,
sd,,,0.543714946166432,#NUM!,1.56916940110092,#NUM!,1.09143276943478,0.768624949975923,31.4172522759893,0.535868921555752,1:07:48,0:28:05,15.1557400183983,3.50280000044782,2.32648855995637,2.00480192768033,11.0540288376906,0.47923454519285,#NUM!,0,2.19064495967889,40.7118776586608,19.5751956760156,22.5634226840098,42.199687504651,5.60112033611204,19.7738741161406,#NUM!,#NUM!,1.82450224621827,1.84178089433708,1.45236064146645,1.44412655549838,1.98067587532057,1.9130101523874,1.92114533460687,2.17104476557939,1.8692912087008,1.57660115170374,
min,,,13,0,0,0,4,1,0,0,15:30:00,5:00:00,5,0,0,0,0,2.33,0,0,1,0,0,0,0,0,10,0,0,1,1,1,1,1,1,1,1,0,0,
q1,,,14,#NUM!,2,#NUM!,6,1.5,18.75,0.5,16:00:00,6:08:45,90,0,0.5,0,0,3.125,#NUM!,0,5,0,0,0,0,0,50,#NUM!,#NUM!,3,5,5,5,1.75,3.5,4,1,1,0,
med,,,14,0,5,0,7,2,30,1,16:37:30,6:30:00,95,1,2,0,0,3.4,0,0,6,37.5,0,0,33.33,0,75,0,0,5,6,6,6.25,3,6,5,4,1,1,
q3,,,15,#NUM!,5,#NUM!,7.25,2.5,75,1,18:00:00,6:45:00,100,2,4,1,0,4,#NUM!,0,7,80,0,0,100,0,80,#NUM!,#NUM!,6,7,7,7,4,7,6.25,5,2,2,
max,,,15,0,5,0,10,5,100,2,20:00:00,7:20:00,100,21,10,10,60,4.18,0,0,10,100,100,100,100,40,100,0,0,7,7,7,7,7,7,7,7,9,9,
iqr,,,1,#NUM!,3,#NUM!,1.25,1,56.25,0.5,2:00:00,0:36:15,10,2,3.5,1,0,0.875,#NUM!,0,2,80,0,0,100,0,30,#NUM!,#NUM!,3,2,2,2,2.25,3.5,2.25,4,1,2,
