serial #,Gender,Grade,Age,Diet,breakfast frequency,food breakfast,sleep per night,homework time,%homework in school,transportation time,get home around(pm),wake up around(am),% homework alone,fast food frequency,sick days,lunch detention/workshop,part time job,GPA,letter grade,stress,metro%,bus%,walk%,driven%,%find teacher,subject good,subject bad,know grade,respected by friends,respected by teachers,like burke,assembly,bonding trip,advising program,clubs,sport season,pe credit,sport outside,
830,M,8,14,no,5,bagel,8,3,80,1.5,16:30:00,6:45:00,80,1,1,1,0,3.33,B+,3,0,0,0,100,80,math,N/A,2,7,5,7,1,1,6,6,N/A,N/A,soccer; basketball; baseball,
831,M,8,13,no,5,waffle,8.5,0.75,5,0.25,15:45:00,6:45:00,80,1,0,4,0,4,A,2.5,50,50,0,0,65,spanish,N/A,5,6,6,7,4,6,5,5,1,1,recreation; basketball; soccer,
832,M,8,14,no,5,cereal,8,2,0,1.2,17:00:00,6:30:00,99,0,2,1,0,2.66,B-,8,0,50,50,0,75,N/A,english,2,3,5,6,1,7,6,6,0,0,N/A,
833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,3.9375,,8.0625,2.16303125,28.0645161290323,4.82354838709677,16:46:27,6:26:43,83.6875,0.90625,3.28125,4.8125,2.9375,,,5.28125,20.703125,12.359375,10.9375,55.9375,67.7,,,3.40625,5.5,5.75,6.4375,3.09375,5.75,4.859375,4.8125,1.13636363636364,0.636363636363636,,
sd,,,,,1.55999799679359,,1.27934309315367,2.03916232011418,32.2697977023408,16.5901644872751,1:05:20,0:37:19,23.2115777953589,1.07119603131266,3.85871072218429,7.67885692990825,9.99667913609315,,,2.58583128558303,31.3221315962751,21.1076979348619,21.4518902139182,40.6739608810108,28.386819537199,,,1.61747053682594,1.4790199457749,1.17260393995586,0.863767185067828,1.92612588827937,1.4790199457749,1.50641531769131,1.6851835953391,0.892131401476262,0.899218410621135,,
min,,,,,0,,5,0.167,0,0,15:15:00,4:30:00,8,0,0,0,0,,,1,0,0,0,0,20,,,1,2,3,3,0,1,1,1,0,0,,
q1,,,13,,3.75,,7,1,5,0.5,16:00:00,6:15:00,80,0,0.75,1,0,3.33,#NUM!,3,0,0,0,10,52.5,#NUM!,#NUM!,2,5,5,6,1,5,4,3.75,1,0,,
med,,,,,5,,8,2,10,1,16:30:00,6:30:00,92,1,2,2,0,,,5,0,0,0,60,75,,,3,6,6,7,3,6,5,5,1,0,,
q3,,,14,,5,,9,2,37.5,1.1,17:15:00,6:52:30,99.25,1,5,4.25,0,4,#NUM!,8,33,20,10,100,80,#NUM!,#NUM!,5,7,7,7,5,7,6,6,1.75,1,,
max,,,,,5,,11,11,100,95,20:00:00,7:15:00,100,5,18,30,50,,,10,100,80,90,100,100,,,7,7,7,7,6,7,7,7,3,3,,
IQR,0,0,1,,1.25,,2,1,32.5,0.6,1:15:00,0:37:30,19.25,1,4.25,3.25,0,0.67,#NUM!,5,33,20,10,90,27.5,#NUM!,#NUM!,3,2,2,1,4,2,2,2.25,0.75,1,,
,F:17,,fourteen: 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
